Country,Poll_2021,Poll_2020,Poll_2019,Poll_2018
Pakistan,66.8,59.0,65.8,74.3
India,58.1,51.9,58.1,72.5
Kyrgyzstan,50.8,43.5,33.2,None
Bahrain,49.8,39.7,46.8,59.8
Nepal,46.0,39.2,44.5,54.1
Uzbekistan,42.8,29.9,41.2,34.3
Afghanistan,37.5,46.5,58.8,61.8
United Arab Emirates,36.0,29.2,38.9,49.9
Indonesia,34.3,40.7,51.7,42.0
Armenia,33.9,24.9,25.5,None
Mongolia,33.1,46.6,62.0,58.5
Saudi Arabia,32.7,23.3,22.1,None
China,32.6,34.7,39.1,41.2
Kazakhstan,31.1,21.9,23.6,29.8
Iran,30.3,27.2,24.3,25.0
Kuwait,29.7,34.0,38.3,56.0
Peru,29.6,17.9,23.3,28.0
Bosnia Herzegovina,27.8,40.6,34.6,40.0
Uganda,27.6,26.1,29.1,40.8
Ghana,25.9,26.9,30.3,None
Myanmar,25.9,29.4,31.0,None
Serbia,25.5,24.3,23.3,23.9
North Macedonia,25.4,30.6,32.4,35.5
Croatia,25.4,21.2,19.1,22.2
Vietnam,24.7,28.0,34.1,32.9
Ethiopia,23.9,14.7,20.1,27.1
South Africa,22.7,18.0,21.6,None
Chile,21.7,19.3,22.6,24.9
Laos,21.5,22.4,23.1,None
Georgia,21.0,20.4,20.1,None
Thailand,20.2,21.4,24.3,26.4
Turkey,20.0,18.7,20.6,21.9
Algeria,20.0,20.2,21.2,None
Cambodia,19.8,21.1,21.1,20.1
Guatemala,19.5,19.2,20.2,None
Malaysia,19.4,15.6,19.4,None
Mexico,19.3,18.9,20.0,20.3
South Korea,19.1,19.5,24.8,24.0
Poland,19.1,16.9,18.7,22.4
Greece,19.0,18.4,22.5,None
Israel,18.7,16.9,20.8,18.6
Ukraine,18.5,19.2,16.6,14.0
Sri Lanka,17.4,22.4,25.2,32.0
Macao SAR,17.0,17.8,23.5,21.2
Bulgaria,16.3,27.5,25.5,25.8
Taiwan,16.2,15.0,17.2,18.5
Slovakia,16.0,15.3,16.1,18.5
Hong Kong SAR,15.9,15.4,20.3,20.2
Philippines,15.6,12.8,17.6,14.6
Hungary,15.5,14.3,14.6,16.8
Romania,15.3,15.8,18.3,18.6
Italy,15.2,18.5,17.1,14.9
Cyprus,14.8,15.8,19.7,17.6
Kosovo,14.7,20.0,23.5,30.4
Colombia,14.1,15.6,14.6,13.9
Czech Republic,13.9,12.3,14.4,20.2
Singapore,13.8,11.8,19.0,14.8
Brazil,13.6,14.2,15.8,16.3
Malta,13.5,11.8,9.4,11.0
Lithuania,13.2,11.7,14.5,17.5
Russia,12.3,9.3,9.9,11.4
Belgium,11.5,8.9,12.5,13.5
Austria,11.4,10.9,12.2,15.0
France,11.4,11.1,12.3,13.2
Netherlands,11.3,9.7,10.9,11.7
Angola,11.0,13.0,15.9,None
Switzerland,10.8,None,10.9,11.6
Spain,10.7,10.4,9.7,10.3
Germany,10.6,10.1,11.0,13.0
USA,10.3,9.6,None,9.1
Denmark,9.6,9.4,9.6,None
Japan,9.1,9.8,11.4,12.0
United Kingdom,8.8,8.3,10.5,10.8
Canada,8.5,7.3,7.7,7.9
Ecuador,8.4,7.6,8.6,None
Argentina,8.2,14.2,14.6,None
Costa Rica,7.8,8.2,10.4,None
Norway,7.5,5.7,6.9,7.6
Portugal,7.1,9.1,9.3,9.4
New Zealand,6.8,None,7.5,7.7
Sweden,6.6,None,6.6,7.4
Iceland,6.1,7.2,5.5,None
Estonia,5.9,5.9,6.2,7.2
Australia,5.7,7.6,None,6.8
Finland,5.5,None,5.6,6.6
Puerto Rico,4.8,3.7,10.2,13.7
U S Virgin Islands,4.5,None,4.5,3.7
